상표,주유소명,주소,시군구,유종별 가격,부가정보
HD현대오일뱅크,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),강북구,"{'고급휘발유': '1,849원', '보통휘발유': '1,645원', '경유': '1,515원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,북서울고속주유소,서울 강북구 삼양로 410 (수유동),강북구,"{'고급휘발유': '1,849원', '보통휘발유': '1,715원', '경유': '1,575원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)석산에너지,서울 강북구 삼양로 316 (수유동),강북구,"{'보통휘발유': '1,645원', '경유': '1,515원', '실내등유': '1,380원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,덕릉로주유소,서울 강북구 덕릉로 158 (번동),강북구,"{'보통휘발유': '1,645원', '경유': '1,515원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,수유동주유소,서울 강북구 도봉로 395 (수유동),강북구,"{'보통휘발유': '1,661원', '경유': '1,525원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),강북구,"{'보통휘발유': '1,689원', '경유': '1,557원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
S-OIL,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),강북구,"{'보통휘발유': '1,690원', '경유': '1,555원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대성석유(주)신광주유소,서울 강북구 삼양로 484,강북구,"{'보통휘발유': '1,729원', '경유': '1,579원', '실내등유': '1,500원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,피트인 하이웨이,서울 강서구 공항대로 432,강서구,"{'고급휘발유': '1,856원', '보통휘발유': '1,654원', '경유': '1,524원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),강서구,"{'고급휘발유': '1,862원', '보통휘발유': '1,662원', '경유': '1,557원', '실내등유': '1,450원'}","{'세차장 여부': 'Y', '충전소 여부': 'Y', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
